PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
libnss-nisplus	1.3-0ubuntu6	amd64	78848	77.00 KB	0	libc6 (>= 2.14), libnsl2 (>> 1.3.0), libnsl2 (<< 1.3.1), libtirpc3 (>= 1.0.2)	1
libnss-systemd	249.11-0ubuntu3.16	amd64	502784	491.00 KB	0	libc6 (>= 2.34), systemd (= 249.11-0ubuntu3.16)	1
libnss3	2:3.98-0ubuntu0.22.04.2	amd64	4103168	3.91 MB	0	libc6 (>= 2.34), libnspr4 (>= 2:4.34), libsqlite3-0 (>= 3.5.9)	2
libntfs-3g89	1:2021.8.22-3ubuntu1.2	amd64	379904	371.00 KB	0	libc6 (>= 2.33)	1
libnuma1	2.0.14-3ubuntu2	amd64	72704	71.00 KB	0	libc6 (>= 2.33)	2
libobjc-11-dev	11.4.0-1ubuntu1~22.04.2	amd64	1470464	1.40 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), libgcc-11-dev (= 11.4.0-1ubuntu1~22.04.2), libobjc4 (>= 11.4.0-1ubuntu1~22.04.2)	3
libobjc4	12.3.0-1ubuntu1~22.04.2	amd64	216064	211.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgc1 (>= 1:7.2d), libgcc-s1 (>= 3.0)	1
libogg0	1.3.5-0ubuntu3	amd64	63488	62.00 KB	0	libc6 (>= 2.14)	3
libopenal-data	1:1.19.1-1	all	210944	206.00 KB	0	-	0
libopengl-dev	1.4.0-1	amd64	22528	22.00 KB	0	libopengl0 (= 1.4.0-1)	1
libopengl0	1.4.0-1	amd64	225280	220.00 KB	0	libc6 (>= 2.14), libglvnd0 (= 1.4.0-1)	2
libopeniscsiusr	2.1.5-1ubuntu1.1	amd64	202752	198.00 KB	0	libc6 (>= 2.33), libkmod2 (>= 5~)	1
libopenjp2-7	2.4.0-6ubuntu0.3	amd64	417792	408.00 KB	0	libc6 (>= 2.34)	2
libopenmpi-dev	4.0.3-0ubuntu1	amd64	4651008	4.44 MB	0	gfortran-mod-15, libopenmpi3 (= 4.0.3-0ubuntu1), openmpi-common (>= 4.0.3-0ubuntu1), libibverbs-dev (>= 1.1.7), libhwloc-dev, libevent-dev, openmpi-bin (>= 3.0.0-1)	0
libopus0	1.3.1-0.1build2	amd64	401408	392.00 KB	0	libc6 (>= 2.29)	1
libp11-kit0	0.24.0-6build1	amd64	1323008	1.26 MB	0	libc6 (>= 2.34), libffi8 (>= 3.4)	3
libpackagekit-glib2-18	1.2.5-2ubuntu3	amd64	474112	463.00 KB	0	libc6 (>= 2.7), libglib2.0-0 (>= 2.54)	3
libpam-cap	1:2.44-1ubuntu0.22.04.2	amd64	46080	45.00 KB	0	libc6 (>= 2.4), libcap2 (>= 1:2.33), libpam0g (>= 0.99.7.1), libpam-runtime (>= 1.1.3-2~)	1
libpam-modules	1.4.0-11ubuntu2.6	amd64	1171456	1.12 MB	0	-	12
libpam-modules-bin	1.4.0-11ubuntu2.6	amd64	254976	249.00 KB	0	libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), libcrypt1 (>= 1:4.3.0), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~)	1
libpam-runtime	1.4.0-11ubuntu2.6	all	319488	312.00 KB	0	debconf (>= 0.5) | debconf-2.0, debconf (>= 1.5.19) | cdebconf, libpam-modules (>= 1.0.1-6)	6
libpam-systemd	249.11-0ubuntu3.16	amd64	664576	649.00 KB	0	libc6 (>= 2.34), libcap2 (>= 1:2.24-9~), libpam0g (>= 0.99.7.1), systemd (= 249.11-0ubuntu3.16), libpam-runtime (>= 1.0.1-6), default-dbus-system-bus | dbus-system-bus, systemd-sysv	8
libpam0g	1.4.0-11ubuntu2.6	amd64	241664	236.00 KB	0	libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), debconf (>= 0.5) | debconf-2.0	16
libpango-1.0-0	1.50.6+ds-2ubuntu1	amd64	576512	563.00 KB	0	fontconfig (>= 2.13.0), libc6 (>= 2.14), libfribidi0 (>= 1.0.6), libglib2.0-0 (>= 2.67.3), libharfbuzz0b (>= 2.6.0), libthai0 (>= 0.1.25)	7
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1	amd64	162816	159.00 KB	0	libc6 (>= 2.4), libcairo2 (>= 1.12.10), libfontconfig1 (>= 2.13.0), libglib2.0-0 (>= 2.62.0), libharfbuzz0b (>= 2.6.0), libpango-1.0-0 (= 1.50.6+ds-2ubuntu1), libpangoft2-1.0-0 (= 1.50.6+ds-2ubuntu1)	5
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1	amd64	201728	197.00 KB	0	libc6 (>= 2.14), libfontconfig1 (>= 2.13.0), libfreetype6 (>= 2.2.1), libglib2.0-0 (>= 2.67.3), libharfbuzz0b (>= 2.6.0), libpango-1.0-0 (= 1.50.6+ds-2ubuntu1)	4
libpaper-utils	1.1.28build2	amd64	45056	44.00 KB	0	libc6 (>= 2.34), libpaper1	1
libpaper1	1.1.28build2	amd64	65536	64.00 KB	0	libc6 (>= 2.33), debconf (>= 0.5) | debconf-2.0, ucf (>= 0.28), dpkg (>= 1.17.2)	2
libparted-fs-resize0	3.4-2build1	amd64	151552	148.00 KB	0	libc6 (>= 2.14), libparted2 (= 3.4-2build1)	1
libparted2	3.4-2build1	amd64	468992	458.00 KB	0	libblkid1 (>= 2.17.2), libc6 (>= 2.34), libdevmapper1.02.1 (>= 2:1.02.97), libuuid1 (>= 2.16), dmidecode	4
libpathplan4	2.42.2-6ubuntu0.1	amd64	88064	86.00 KB	0	libc6 (>= 2.14)	1
libpcap0.8	1.10.1-4ubuntu1.22.04.1	amd64	365568	357.00 KB	0	libc6 (>= 2.33), libdbus-1-3 (>= 1.9.14)	1
libpci3	1:3.7.0-6	amd64	92160	90.00 KB	0	libc6 (>= 2.34), libudev1 (>= 196), zlib1g (>= 1:1.1.4), pci.ids (>= 0.0~2019.11.10-2)	1
libpciaccess0	0.16-3	amd64	62464	61.00 KB	1	libc6 (>= 2.33), zlib1g (>= 1:1.1.4)	1
libpcre2-8-0	10.39-3ubuntu0.1	amd64	635904	621.00 KB	0	libc6 (>= 2.14)	4
libpcre3	2:8.39-13ubuntu0.22.04.1	amd64	699392	683.00 KB	0	libc6 (>= 2.14)	2
libperl5.34	5.34.0-3ubuntu1.5	amd64	29130752	27.78 MB	0	libbz2-1.0, libc6 (>= 2.35), libcrypt1 (>= 1:4.1.0), libdb5.3, libgdbm-compat4 (>= 1.18-3), libgdbm6 (>= 1.18-3), zlib1g (>= 1:1.2.2.3), perl-modules-5.34 (>= 5.34.0-3ubuntu1.5)	1
libpfm4	4.11.1+git32-gd0b85fb-1ubuntu0.1	amd64	2650112	2.53 MB	0	libc6 (>= 2.14)	0
libphobos2-ldc-shared98	1:1.28.0-1ubuntu1	amd64	6390784	6.09 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 4.2), libllvm11 (>= 1:9~svn298832-1~), libstdc++6 (>= 11), zlib1g (>= 1:1.2.0)	3
libpipeline1	1.5.5-1	amd64	69632	68.00 KB	0	libc6 (>= 2.26)	2
libpixman-1-0	0.40.0-1ubuntu0.22.04.1	amd64	724992	708.00 KB	0	libc6 (>= 2.29)	1
libplymouth5	0.9.5+git20211018-1ubuntu3	amd64	429056	419.00 KB	0	libc6 (>= 2.34), libpng16-16 (>= 1.6.2-1), libudev1 (>= 183)	2
libpng16-16	1.6.37-3build5	amd64	361472	353.00 KB	0	libc6 (>= 2.29), zlib1g (>= 1:1.2.11)	7
libpolkit-agent-1-0	0.105-33	amd64	81920	80.00 KB	0	libc6 (>= 2.4), libglib2.0-0 (>= 2.37.3), libpolkit-gobject-1-0 (= 0.105-33)	3
libpolkit-gobject-1-0	0.105-33	amd64	161792	158.00 KB	0	libc6 (>= 2.7), libglib2.0-0 (>= 2.37.3), libsystemd0 (>= 213)	8
libpopt0	1.18-3build1	amd64	122880	120.00 KB	0	libc6 (>= 2.33)	5
libportaudio2	19.6.0-1.1	amd64	223232	218.00 KB	1	libasound2 (>= 1.0.16), libc6 (>= 2.29), libjack-jackd2-0 (>= 1.9.10+20150825) | libjack-0.125	2
libportaudiocpp0	19.6.0-1.1	amd64	74752	73.00 KB	0	libc6 (>= 2.2.5), libgcc-s1 (>= 3.0), libportaudio2 (>= 19+svn20101113), libstdc++6 (>= 5)	1
libprocps8	2:3.3.17-6ubuntu2.1	amd64	134144	131.00 KB	0	libc6 (>= 2.34), libsystemd0 (>= 209)	1
libprotobuf23	3.12.4-1ubuntu7.22.04.4	amd64	2915328	2.78 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 11), zlib1g (>= 1:1.1.4)	2
libpsl5	0.21.0-1.2build2	amd64	97280	95.00 KB	0	libidn2-0 (>= 0.16), libc6 (>= 2.33), libunistring2 (>= 0.9.7)	3
libpsm-infinipath1	3.3+20.604758e7-6	amd64	449536	439.00 KB	0	libc6 (>= 2.14), libuuid1 (>= 2.16)	0
libpthread-stubs0-dev	0.4-1build2	amd64	18432	18.00 KB	0	-	1
libpulse0	1:15.99.1+dfsg1-1ubuntu2.2	amd64	1053696	1.00 MB	1	libapparmor1 (>= 2.7.0~beta1+bzr1772), libasyncns0 (>= 0.3), libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libsndfile1 (>= 1.0.20), libsystemd0, libx11-6, libx11-xcb1 (>= 2:1.7.5), libxcb1	2
libpulsedsp	1:15.99.1+dfsg1-1ubuntu2.2	amd64	168960	165.00 KB	1	libc6 (>= 2.34), libpulse0 (= 1:15.99.1+dfsg1-1ubuntu2.2)	1
libpwquality-common	1.4.4-1build2	all	69632	68.00 KB	0	-	0
libpython3-dev	3.10.6-1~22.04.1	amd64	50176	49.00 KB	0	libpython3.10-dev (>= 3.10.6-1~)	1
libpython3-stdlib	3.10.6-1~22.04.1	amd64	39936	39.00 KB	0	libpython3.10-stdlib (>= 3.10.6-1~)	1
libpython3.10	3.10.12-1~22.04.10	amd64	5906432	5.63 MB	0	libpython3.10-stdlib (= 3.10.12-1~22.04.10), libc6 (>= 2.35), libexpat1 (>= 2.1~beta3), zlib1g (>= 1:1.2.0)	4
libpython3.10-dev	3.10.12-1~22.04.10	amd64	20916224	19.95 MB	0	libpython3.10-stdlib (= 3.10.12-1~22.04.10), libpython3.10 (= 3.10.12-1~22.04.10), libexpat1-dev, zlib1g-dev	2
libpython3.10-minimal	3.10.12-1~22.04.10	amd64	5245952	5.00 MB	0	libc6 (>= 2.14), libssl3 (>= 3.0.0~~alpha1)	2
libpython3.10-stdlib	3.10.12-1~22.04.10	amd64	8314880	7.93 MB	0	libpython3.10-minimal (= 3.10.12-1~22.04.10), media-types | mime-support, libbz2-1.0, libc6 (>= 2.34), libcrypt1 (>= 1:4.1.0), libdb5.3, libffi8 (>= 3.4), liblzma5 (>= 5.1.1alpha+20120614), libmpdec3, libncursesw6 (>= 6.1), libnsl2 (>= 1.0), libreadline8 (>= 7.0~beta), libsqlite3-0 (>= 3.14.0), libtinfo6 (>= 6), libtirpc3 (>= 1.0.2), libuuid1 (>= 2.20.1)	7
libpython3.8-minimal	3.8.10-0ubuntu1~20.04.8	amd64	4910080	4.68 MB	0	libc6 (>= 2.4), libssl1.1 (>= 1.1.1)	0
libqmi-glib5	1.32.0-1ubuntu0.22.04.1	amd64	3903488	3.72 MB	0	libc6 (>= 2.14), libglib2.0-0 (>= 2.56), libmbim-glib4 (>= 1.27~), libmbim-proxy	3
libqmi-proxy	1.32.0-1ubuntu0.22.04.1	amd64	32768	32.00 KB	0	libqmi-glib5 (= 1.32.0-1ubuntu0.22.04.1), libc6 (>= 2.34), libglib2.0-0 (>= 2.56)	2
libqt5core5a	5.12.8+dfsg-0ubuntu2.1	amd64	6014976	5.74 MB	0	libc6 (>= 2.29), libdouble-conversion3 (>= 2.0.0), libgcc-s1 (>= 3.4), libglib2.0-0 (>= 2.22.0), libicu66 (>= 66.1-1~), libpcre2-16-0 (>= 10.22), libstdc++6 (>= 5), zlib1g (>= 1:1.1.4)	0
libqt5gui5	5.12.8+dfsg-0ubuntu2.1	amd64	12339200	11.77 MB	0	fontconfig, libc6 (>= 2.29), libdrm2 (>= 2.4.62), libegl1, libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.6), libgbm1 (>= 8.1~0), libgcc-s1 (>= 3.4), libgl1, libglib2.0-0 (>= 2.12.0), libharfbuzz0b (>= 1.6.0), libice6 (>= 1:1.0.0), libinput10 (>= 0.15.0), libjpeg8 (>= 8c), libmtdev1 (>= 1.0.8), libpng16-16 (>= 1.6.2-1), libqt5core5a (>= 5.12.2), libqt5dbus5 (>= 5.0.2), libqt5network5 (>= 5.0.2), libsm6, libstdc++6 (>= 5), libudev1 (>= 183), libx11-6, libx11-xcb1 (>= 2:1.6.9), libxcb-glx0, libxcb-icccm4 (>= 0.4.1), libxcb-image0 (>= 0.2.1), libxcb-keysyms1 (>= 0.4.0), libxcb-randr0 (>= 1.3), libxcb-render-util0, libxcb-render0, libxcb-shape0, libxcb-shm0 (>= 1.10), libxcb-sync1, libxcb-xfixes0, libxcb-xinerama0, libxcb-xinput0 (>= 1.14), libxcb-xkb1, libxcb1 (>= 1.8), libxkbcommon-x11-0 (>= 0.5.0), libxkbcommon0 (>= 0.5.0), libxrender1, qtbase-abi-5-12-8, zlib1g (>= 1:1.1.4)	0
libquadmath0	12.3.0-1ubuntu1~22.04.2	amd64	303104	296.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.23)	3
libreadline8	8.1.2-1	amd64	472064	461.00 KB	0	readline-common, libc6 (>= 2.33), libtinfo6 (>= 6)	12
libregexp-assemble-perl	0.36-1.1	all	200704	196.00 KB	0	perl:any	1
libroslib-dev	1.14.7-3build2	amd64	43008	42.00 KB	0	libroslib0d (= 1.14.7-3build2), librospack-dev, libboost-thread-dev, ros-environment	0
librsvg2-2	2.52.5+dfsg-3ubuntu0.2	amd64	11018240	10.51 MB	0	libc6 (>= 2.34), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.15.12), libgcc-s1 (>= 4.2), libgdk-pixbuf-2.0-0 (>= 2.31.1), libglib2.0-0 (>= 2.50.0), libpango-1.0-0 (>= 1.45.5), libpangocairo-1.0-0 (>= 1.44.0), libxml2 (>= 2.9.0)	2
librsvg2-common	2.52.5+dfsg-3ubuntu0.2	amd64	91136	89.00 KB	0	librsvg2-2 (= 2.52.5+dfsg-3ubuntu0.2), libgdk-pixbuf-2.0-0 (>= 2.23.5-2), libglib2.0-0 (>= 2.50.0)	3
librtmp1	2.4+20151223.gitfa8646d.1-2build4	amd64	144384	141.00 KB	0	libc6 (>= 2.14), libgmp10 (>= 2:6.2.1+dfsg), libgnutls30 (>= 3.7.2), libhogweed6, libnettle8, zlib1g (>= 1:1.1.4)	2
librust-adler-dev	1.0.2-2	amd64	65536	64.00 KB	0	-	0
librust-autocfg-dev	1.0.1-1	amd64	65536	64.00 KB	0	-	0
librust-cc-dev	1.0.71-2	amd64	258048	252.00 KB	0	-	0
librust-cfg-if-0.1-dev	0.1.10-2	amd64	49152	48.00 KB	0	-	0
librust-cfg-if-dev	1.0.0-1	amd64	49152	48.00 KB	0	-	0
librust-crc32fast-dev	1.2.0-1	amd64	121856	119.00 KB	0	librust-cfg-if-0.1+default-dev	0
librust-flate2+libz-sys-dev	1.0.22-1	amd64	9216	9.00 KB	1	librust-flate2-dev (= 1.0.22-1), librust-libz-sys-1-dev (>= 1.1.0-~~)	1
librust-flate2+rust-backend-dev	1.0.22-1	amd64	9216	9.00 KB	0	librust-flate2-dev (= 1.0.22-1), librust-miniz-oxide-0.4-dev	1
librust-flate2-dev	1.0.22-1	amd64	355328	347.00 KB	0	librust-cfg-if-1+default-dev, librust-crc32fast-1+default-dev (>= 1.2.0-~~), librust-libc-0.2+default-dev (>= 0.2.65-~~), librust-miniz-oxide-0.4-dev	2
librust-libc-dev	0.2.103-1	amd64	3156992	3.01 MB	0	-	0
librust-libz-sys+default-dev	1.1.2-3	amd64	6144	6.00 KB	0	librust-libz-sys-dev (= 1.1.2-3), librust-libz-sys+stock-zlib-dev (= 1.1.2-3), librust-libc-0.2+default-dev (>= 0.2.43-~~)	1
librust-libz-sys-dev	1.1.2-3	amd64	65536	64.00 KB	0	librust-cc-1+default-dev (>= 1.0.18-~~), librust-pkg-config-0.3+default-dev (>= 0.3.9-~~), librust-vcpkg-0.2+default-dev, zlib1g-dev	1
librust-miniz-oxide-dev	0.4.4-2	amd64	242688	237.00 KB	0	librust-adler-1-dev, librust-autocfg-1+default-dev	0
librust-pkg-config-dev	0.3.21-1	amd64	83968	82.00 KB	0	pkg-config	0
librust-vcpkg-dev	0.2.8-1	amd64	65536	64.00 KB	0	-	0
librust-winapi-dev	0.3.9-1	amd64	7171072	6.84 MB	1	librust-winapi-i686-pc-windows-gnu-0.4+default-dev, librust-winapi-x86-64-pc-windows-gnu-0.4+default-dev	0
librust-winapi-i686-pc-windows-gnu-dev	0.4.0-1	amd64	17408	17.00 KB	0	-	0
librust-winapi-x86-64-pc-windows-gnu-dev	0.4.0-1	amd64	17408	17.00 KB	0	-	0
librust-x11-dev	2.18.2-2	amd64	422912	413.00 KB	1	librust-libc-0.2+default-dev, librust-pkg-config-0.3+default-dev (>= 0.3.8-~~), libx11-dev	0
libsane-common	1.1.1-5	all	4919296	4.69 MB	0	-	0
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2	amd64	174080	170.00 KB	0	libsasl2-modules-db (>= 2.1.27+dfsg2-3ubuntu1.2), libc6 (>= 2.34)	1
libsasl2-modules	2.1.27+dfsg2-3ubuntu1.2	amd64	315392	308.00 KB	0	libc6 (>= 2.14), libssl3 (>= 3.0.0~~alpha1)	1
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2	amd64	95232	93.00 KB	0	libc6 (>= 2.14), libdb5.3	1
libseccomp2	2.5.3-2ubuntu3~22.04.1	amd64	148480	145.00 KB	0	libc6 (>= 2.4)	6
libsecret-1-0	0.20.5-2	amd64	439296	429.00 KB	0	libc6 (>= 2.14), libgcrypt20 (>= 1.9.0), libglib2.0-0 (>= 2.59.0), libsecret-common	1
libsecret-common	0.20.5-2	all	49152	48.00 KB	0	-	1
libselinux1	3.3-1build2	amd64	211968	207.00 KB	0	libc6 (>= 2.34), libpcre2-8-0 (>= 10.22)	29
libsemanage-common	3.3-1build2	all	37888	37.00 KB	0	-	1
libsemanage2	3.3-1build2	amd64	307200	300.00 KB	0	libsemanage-common (>= 3.3-1build2), libaudit1 (>= 1:2.2.1), libbz2-1.0, libc6 (>= 2.33), libselinux1 (>= 3.3), libsepol2 (>= 3.3)	1
libsensors-config	1:3.6.0-7ubuntu1	all	43008	42.00 KB	1	-	1
libsensors5	1:3.6.0-7ubuntu1	amd64	98304	96.00 KB	1	libsensors-config, libc6 (>= 2.33)	1
libsepol2	3.3-1build1	amd64	752640	735.00 KB	0	libc6 (>= 2.33)	1
libsgutils2-2	1.46-1ubuntu0.22.04.1	amd64	301056	294.00 KB	0	libc6 (>= 2.33)	1
libsigsegv2	2.13-1ubuntu3	amd64	50176	49.00 KB	0	libc6 (>= 2.4)	1
libslang2	2.3.2-5build4	amd64	1667072	1.59 MB	0	libc6 (>= 2.35)	4
libslirp0	4.6.1-1build1	amd64	148480	145.00 KB	0	libc6 (>= 2.33), libglib2.0-0 (>= 2.57.2)	1
libsm-dev	2:1.2.3-1build2	amd64	89088	87.00 KB	0	libsm6 (= 2:1.2.3-1build2), x11proto-core-dev, libice-dev (>= 1:1.0.0-1)	1
libsm6	2:1.2.3-1build2	amd64	56320	55.00 KB	1	libc6 (>= 2.14), libice6 (>= 1:1.0.0), libuuid1 (>= 2.16)	2
libsmartcols1	2.37.2-4ubuntu3.4	amd64	214016	209.00 KB	0	libc6 (>= 2.14)	5
libsmbios-c2	2.4.3-1build1	amd64	311296	304.00 KB	0	libc6 (>= 2.33)	1
libsndfile1	1.0.31-2ubuntu0.2	amd64	540672	528.00 KB	1	libc6 (>= 2.33), libflac8 (>= 1.3.0), libogg0 (>= 1.3.0), libopus0 (>= 1.1), libvorbis0a (>= 1.2.3), libvorbisenc2 (>= 1.2.3)	2
libsnmp-base	5.9.1+dfsg-1ubuntu2.6	all	694272	678.00 KB	0	-	0
libsodium23	1.0.18-1build2	amd64	411648	402.00 KB	1	libc6 (>= 2.33)	2
libsource-highlight-common	3.1.9-4.1build2	all	314368	307.00 KB	0	-	1
libsource-highlight4v5	3.1.9-4.1build2	amd64	624640	610.00 KB	0	libsource-highlight-common, libboost-regex1.74.0-icu70, libc6 (>= 2.14), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 11)	1
libsqlite3-0	3.37.2-2ubuntu0.5	amd64	1641472	1.57 MB	0	libc6 (>= 2.34)	5
libss2	1.46.5-2ubuntu1.2	amd64	115712	113.00 KB	0	libcom-err2, libc6 (>= 2.34)	1
libssh-4	0.9.6-2ubuntu0.22.04.4	amd64	502784	491.00 KB	0	libc6 (>= 2.33), libgssapi-krb5-2 (>= 1.17), libssl3 (>= 3.0.0~~alpha1), zlib1g (>= 1:1.1.4)	4
libssl-dev	3.0.2-0ubuntu1.19	amd64	12392448	11.82 MB	1	libssl3 (= 3.0.2-0ubuntu1.19)	1
libssl1.1	1.1.1f-1ubuntu2.19	amd64	4125696	3.93 MB	0	libc6 (>= 2.25), debconf (>= 0.5) | debconf-2.0	0
libssl3	3.0.2-0ubuntu1.19	amd64	5974016	5.70 MB	1	libc6 (>= 2.34), debconf (>= 0.5) | debconf-2.0	32
libstdc++-10-dev	10.5.0-1ubuntu1~22.04.2	amd64	18108416	17.27 MB	1	gcc-10-base (= 10.5.0-1ubuntu1~22.04.2), libgcc-10-dev (= 10.5.0-1ubuntu1~22.04.2), libstdc++6 (>= 10.5.0-1ubuntu1~22.04.2), libc6-dev (>= 2.13-0ubuntu6)	1
libstdc++-10-doc	10.5.0-1ubuntu1~22.04.2	all	115855360	110.49 MB	1	gcc-10-base (>= 10)	1
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.2	amd64	19209216	18.32 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), libgcc-11-dev (= 11.4.0-1ubuntu1~22.04.2), libstdc++6 (>= 11.4.0-1ubuntu1~22.04.2), libc6-dev (>= 2.13-0ubuntu6)	4
libstdc++6	12.3.0-1ubuntu1~22.04.2	amd64	2821120	2.69 MB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgcc-s1 (>= 4.2)	76
libstemmer0d	2.2.0-1build1	amd64	859136	839.00 KB	0	libc6 (>= 2.4)	1
libsystemd0	249.11-0ubuntu3.16	amd64	1019904	996.00 KB	0	-	29
libtasn1-6	4.18.0-4ubuntu0.1	amd64	137216	134.00 KB	0	libc6 (>= 2.14)	1
libtcl8.6	8.6.12+dfsg-1build1	amd64	4189184	4.00 MB	0	tzdata, libc6 (>= 2.35), zlib1g (>= 1:1.2.2)	1
libtermkey1	0.22-1	amd64	64512	63.00 KB	0	libc6 (>= 2.14), libunibilium4 (>= 1.0)	1
libtext-charwidth-perl	0.04-10build3	amd64	46080	45.00 KB	0	libc6 (>= 2.34), perl-base, perlapi-5.34.0	2
libtext-iconv-perl	1.7-7build3	amd64	53248	52.00 KB	0	libc6 (>= 2.34), perl-base, perlapi-5.34.0	2
libtext-wrapi18n-perl	0.06-9	all	25600	25.00 KB	0	libtext-charwidth-perl	1
libthai-data	0.1.29-1build1	all	609280	595.00 KB	0	-	1
libthai0	0.1.29-1build1	amd64	101376	99.00 KB	0	libthai-data (>= 0.1.10), libc6 (>= 2.14), libdatrie1 (>= 0.2.0)	2
libtie-ixhash-perl	1.23-2.1	all	33792	33.00 KB	0	perl:any	1
libtiff5	4.3.0-6ubuntu0.10	amd64	594944	581.00 KB	0	libc6 (>= 2.33), libdeflate0 (>= 1.0), libjbig0 (>= 2.0), libjpeg8 (>= 8c), liblzma5 (>= 5.1.1alpha+20120614), libwebp7, libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	4
libtimedate-perl	2.3300-2	all	125952	123.00 KB	0	perl:any	2
libtinfo-dev	6.3-2ubuntu0.1	amd64	6144	6.00 KB	0	libtinfo6 (= 6.3-2ubuntu0.1), libncurses-dev (= 6.3-2ubuntu0.1)	1
libtinfo6	6.3-2ubuntu0.1	amd64	571392	558.00 KB	0	libc6 (>= 2.33)	37
libtirpc-common	1.3.2-2ubuntu0.1	all	32768	32.00 KB	0	-	1
libtirpc-dev	1.3.2-2ubuntu0.1	amd64	737280	720.00 KB	0	libtirpc3 (= 1.3.2-2ubuntu0.1)	2
libtirpc3	1.3.2-2ubuntu0.1	amd64	224256	219.00 KB	0	libc6 (>= 2.34), libgssapi-krb5-2 (>= 1.17), libtirpc-common (>= 1.3.2-2ubuntu0.1)	8
libtree-sitter0	0.20.3-1	amd64	202752	198.00 KB	0	libc6 (>= 2.17)	1
libtry-tiny-perl	0.31-1	all	49152	48.00 KB	0	perl:any	1
libtsan0	11.4.0-1ubuntu1~22.04.2	amd64	7429120	7.08 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgcc-s1	3
libtss2-esys-3.0.2-0	3.2.0-1ubuntu1.1	amd64	637952	623.00 KB	0	libtss2-tcti-cmd0, libtss2-tcti-device0, libtss2-tcti-mssim0, libtss2-tcti-swtpm0, tpm-udev, libc6 (>= 2.34), libssl3 (>= 3.0.0~~alpha1), libtss2-mu0 (>= 3.0.1), libtss2-sys1 (>= 3.1.0)	2
libtss2-mu0	3.2.0-1ubuntu1.1	amd64	352256	344.00 KB	0	tpm-udev, libc6 (>= 2.14)	7
libtss2-sys1	3.2.0-1ubuntu1.1	amd64	174080	170.00 KB	0	tpm-udev, libc6 (>= 2.4), libtss2-mu0 (>= 3.0.1)	1
libtss2-tcti-cmd0	3.2.0-1ubuntu1.1	amd64	58368	57.00 KB	0	tpm-udev, libc6 (>= 2.7), libtss2-mu0 (>= 3.0.1)	1
libtss2-tcti-device0	3.2.0-1ubuntu1.1	amd64	53248	52.00 KB	0	tpm-udev, libc6 (>= 2.4), libtss2-mu0 (>= 3.0.1)	1
libtss2-tcti-mssim0	3.2.0-1ubuntu1.1	amd64	57344	56.00 KB	0	tpm-udev, libc6 (>= 2.7), libtss2-mu0 (>= 3.0.1)	1
libtss2-tcti-swtpm0	3.2.0-1ubuntu1.1	amd64	57344	56.00 KB	0	tpm-udev, libc6 (>= 2.14), libtss2-mu0 (>= 3.0.1)	1
libubsan1	12.3.0-1ubuntu1~22.04.2	amd64	2740224	2.61 MB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgcc-s1 (>= 3.3), libstdc++6 (>= 4.1.1)	3
libuchardet0	0.0.7-1build2	amd64	212992	208.00 KB	0	libc6 (>= 2.14), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 4.1.1)	1
libudev1	249.11-0ubuntu3.16	amd64	356352	348.00 KB	0	libc6 (>= 2.34)	22
libudisks2-0	2.9.4-1ubuntu2.2	amd64	855040	835.00 KB	0	libc6 (>= 2.4), libglib2.0-0 (>= 2.50)	1
libunibilium4	2.1.0-1	amd64	98304	96.00 KB	0	libc6 (>= 2.14)	4
libunistring2	1.0-1	amd64	1787904	1.71 MB	0	libc6 (>= 2.34)	4
libunwind8	1.3.2-2build2.1	amd64	200704	196.00 KB	0	libc6 (>= 2.34), liblzma5 (>= 5.1.1alpha+20110809)	3
liburcu8	0.13.1-1	amd64	338944	331.00 KB	0	libc6 (>= 2.34)	1
