PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
libgusb2	0.3.10-1	amd64	99328	97.00 KB	0	libc6 (>= 2.14), libglib2.0-0 (>= 2.44.0), libusb-1.0-0 (>= 2:1.0.22)	2
libgvc6	2.42.2-6ubuntu0.1	amd64	1927168	1.84 MB	0	libc6 (>= 2.35), libcairo2 (>= 1.15.8), libcdt5, libcgraph6, libexpat1 (>= 2.0.1), libgcc-s1 (>= 3.3.1), libgd3 (>= 2.1.0~alpha~), libglib2.0-0 (>= 2.16.0), libgts-0.7-5 (>= 0.7.6), libltdl7 (>= 2.4.6), libpango-1.0-0 (>= 1.22.0), libpangocairo-1.0-0 (>= 1.14.0), libpangoft2-1.0-0 (>= 1.14.0), libpathplan4, libstdc++6 (>= 5.2), libwebp7, libx11-6, zlib1g (>= 1:1.1.4)	1
libgvpr2	2.42.2-6ubuntu0.1	amd64	544768	532.00 KB	0	libc6 (>= 2.33), libcdt5, libcgraph6	1
libharfbuzz0b	2.7.4-1ubuntu3.2	amd64	880640	860.00 KB	0	libc6 (>= 2.33), libfreetype6 (>= 2.9.1), libglib2.0-0 (>= 2.31.8), libgraphite2-3 (>= 1.2.2)	4
libheif1	1.12.0-2build1	amd64	564224	551.00 KB	0	libaom3 (>= 3.2.0), libc6 (>= 2.34), libdav1d5 (>= 0.1.0), libde265-0 (>= 1.0.7), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 11), libx265-199 (>= 3.5)	1
libhogweed6	3.7.3-1build2	amd64	344064	336.00 KB	0	libc6 (>= 2.14), libgmp10 (>= 2:6.2.1+dfsg), libnettle8	2
libhtml-form-perl	6.07-1	all	63488	62.00 KB	0	perl:any, libhtml-parser-perl, libhttp-message-perl, liburi-perl	1
libhtml-format-perl	2.12-1.1	all	129024	126.00 KB	0	perl:any, libfont-afm-perl, libhtml-tree-perl	2
libhtml-parser-perl	3.76-1build2	amd64	227328	222.00 KB	0	perl, perlapi-5.34.0, libc6 (>= 2.34), libhtml-tagset-perl, liburi-perl	4
libhtml-tagset-perl	3.20-4	all	31744	31.00 KB	0	perl	3
libhtml-tree-perl	5.07-2	all	492544	481.00 KB	0	perl, libhtml-parser-perl, libhtml-tagset-perl	2
libhttp-cookies-perl	6.10-1	all	51200	50.00 KB	0	perl:any, libhttp-date-perl, libhttp-message-perl	1
libhttp-daemon-perl	6.13-1ubuntu0.1	all	57344	56.00 KB	0	perl:any, libhttp-date-perl, libhttp-message-perl, libio-socket-ip-perl, liblwp-mediatypes-perl, libsocket-perl	1
libhttp-date-perl	6.05-1	all	29696	29.00 KB	0	perl, libtimedate-perl, libtime-local-perl (>= 1.28)	5
libhttp-message-perl	6.36-1	all	195584	191.00 KB	0	perl:any, libencode-locale-perl, libencode-perl (>= 3.01), libhttp-date-perl, libio-html-perl, liblwp-mediatypes-perl, liburi-perl	6
libhttp-negotiate-perl	6.01-1	all	34816	34.00 KB	0	perl, libhttp-message-perl	1
libice-dev	2:1.0.10-1build2	amd64	226304	221.00 KB	0	libice6 (= 2:1.0.10-1build2), x11proto-dev	1
libice6	2:1.0.10-1build2	amd64	118784	116.00 KB	1	libbsd0 (>= 0.2.0), libc6 (>= 2.33), x11-common	4
libicu-dev	70.1-2	amd64	47120384	44.94 MB	0	libicu70 (= 70.1-2), icu-devtools (>= 70.1-2), libc6-dev | libc-dev	2
libicu70	70.1-2	amd64	35270656	33.64 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 5.2)	7
libidn12	1.38-4ubuntu1	amd64	237568	232.00 KB	0	libc6 (>= 2.14)	1
libidn2-0	2.3.2-2build1	amd64	225280	220.00 KB	0	libc6 (>= 2.14), libunistring2 (>= 0.9.7)	9
libijs-0.35	0.35-15build2	amd64	51200	50.00 KB	0	libc6 (>= 2.14)	1
libinih1	53-1ubuntu3	amd64	30720	30.00 KB	0	libc6 (>= 2.4)	1
libio-html-perl	1.004-2	all	40960	40.00 KB	0	perl:any	1
libio-socket-ssl-perl	2.074-2	all	574464	561.00 KB	0	perl:any, libnet-ssleay-perl, netbase	3
libio-stringy-perl	2.111-3	all	137216	134.00 KB	0	perl	1
libip4tc2	1.8.7-1ubuntu5.2	amd64	84992	83.00 KB	0	libc6 (>= 2.28)	2
libip6tc2	1.8.7-1ubuntu5.2	amd64	84992	83.00 KB	0	libc6 (>= 2.28)	1
libipc-system-simple-perl	1.30-1	all	62464	61.00 KB	0	perl:any	1
libipt2	2.0.5-1	amd64	135168	132.00 KB	0	libc6 (>= 2.33)	1
libisc-export1105	1:9.11.19+dfsg-2.1ubuntu3	amd64	522240	510.00 KB	0	libc6 (>= 2.34), libssl3 (>= 3.0.0~~alpha1)	2
libisl23	0.24-2build1	amd64	2210816	2.11 MB	0	libc6 (>= 2.14), libgmp10 (>= 2:6.2.1+dfsg)	8
libisns0	0.101-0ubuntu2	amd64	503808	492.00 KB	0	libc6 (>= 2.33), libssl3 (>= 3.0.0~~alpha1)	1
libitm1	12.3.0-1ubuntu1~22.04.2	amd64	117760	115.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.34)	3
libjack-dev	1:0.125.0-3build2	amd64	2385920	2.28 MB	0	libjack0 (= 1:0.125.0-3build2), pkg-config, uuid-dev	2
libjack0	1:0.125.0-3build2	amd64	344064	336.00 KB	0	libc6 (>= 2.17), libdb5.3	1
libjansson4	2.13.1-1.1build3	amd64	93184	91.00 KB	0	libc6 (>= 2.14)	2
libjbig0	2.1-3.1ubuntu0.22.04.1	amd64	83968	82.00 KB	0	libc6 (>= 2.4)	2
libjbig2dec0	0.19-3build2	amd64	186368	182.00 KB	0	libc6 (>= 2.14)	1
