adduser 3.134
python3-reportbug 12.0.0
python3-venv 3.11.2-1+b1
readline-common 8.2-1.3
reportbug 12.0.0
resolvconf 1.91+nmu1
ripgrep 13.0.0-4+b2
screen 4.9.0-4
sed 4.9-1
sensible-utils 0.0.17+nmu1
shim-signed 1.44~1+deb12u1+15.8-1~deb12u1
sudo 1.9.13p3-1+deb12u1
systemd 252.36-1~deb12u1
systemd-sysv 252.36-1~deb12u1
systemd-timesyncd 252.36-1~deb12u1
sysvinit-utils 3.06-4
tar 1.34+dfsg-1.2+deb12u1
task-english 3.73
task-ssh-server 3.73
tasksel 3.73
tasksel-data 3.73
temurin-21-jdk 21.0.7.0.0+6-0
tmux 3.3a-3
traceroute 1:2.1.2-1
tzdata 2025b-0+deb12u1
ucf 3.0043+nmu1+deb12u1
udev 252.36-1~deb12u1
ufw 0.36.2-1
unzip 6.0-28
usr-is-merged 37~deb12u1
util-linux 2.38.1-5+deb12u3
util-linux-extra 2.38.1-5+deb12u3
vim-common 2:9.0.1378-2+deb12u2
vim-tiny 2:9.0.1378-2+deb12u2
wamerican 2020.12.07-2
wget 1.21.3-1+deb12u1
whiptail 0.52.23-1+b1
wl-clipboard 2.1.0-0.1+b1
xclip 0.13-2
xz-utils 5.4.1-1
zerotier-one 1.14.2
zip 3.0-13
zlib1g 1:1.2.13.dfsg-1
zstd 1.5.4+dfsg2-5
